CustomerID,Gender,Age,Location
1000,Woman,45,"Coram, NY"
1001,Man,46,"Alton, IL"
1002,Woman,34,"Boswell, PA"
1003,Woman,19,"Barrington, RI"
1004,Woman,18,"Washington, NJ"
1005,Man,55,"Delaware, OH"
1006,Man,43,"Dublin, OH"
1007,Woman,65,"Cleveland, OH"
1008,Woman,24,"Redlands, CA"
1009,Woman,27,"Houston, TX"
1010,Woman,59,"Manhattan, NY"
1011,Woman,25,"Chula Vista, CA"
1012,Woman,55,"Mount Pocono, PA"
1013,Man,57,"Chicago, IL"
1014,Woman,28,"Tooele, UT"
1015,Man,35,"Queens, NY"
1016,Man,21,"Fall River, MA"
1017,Woman,34,"Perry Hall, MD"
1018,Man,34,"Grosse Pointe Park, MI"
1019,Man,44,"Flagstaff, AZ"
1020,Woman,24,"Huntsville, AL"
1021,Woman,39,"Richmond, VA"
1022,Woman,61,"Islip Terrace, NY"
1023,Man,37,"Brownsville, TX"
1024,Man,35,"Oak Park, CA"
1025,Man,64,"Oildale, CA"
1026,Woman,46,"Derry Village, NH"
1027,Woman,41,"Ridgeland, MS"
1028,Man,28,"Los Angeles, CA"
1029,Woman,22,"Woodway, TX"
1030,Man,23,"Edgewater, FL"
1031,Man,36,"West Palm Beach, FL"
1032,Woman,37,"Champaign, IL"
1033,Man,53,"Paradise, NV"
1034,Woman,19,"Nashville, TN"
1035,Woman,41,"New Braunfels, TX"
1036,Woman,35,"Los Angeles, CA"
1037,Man,49,"Richmond, CA"
1038,Woman,60,"Seabrook, TX"
1039,Woman,33,"Memphis, TN"
1040,Woman,33,"Citrus Heights, CA"
1041,Man,35,"Falls Church, VA"
1042,Woman,37,"Bolivar, MO"
1043,Woman,71,"Idaho Falls, ID"
1044,Woman,57,"Atherton, CA"
1045,Woman,35,"New York City, NY"
1046,Woman,39,"Ronan, MT"
1047,Man,47,"Oklahoma City, OK"
1048,Woman,58,"New York City, NY"
1049,Woman,18,"Los Angeles, CA"
1050,Woman,41,"Sawmills, NC"
1051,Woman,40,"Hesston, KS"
1052,Woman,70,"Yakima, WA"
1053,Woman,22,"Sterling Heights, MI"
1054,Woman,18,"Colorado Springs, CO"
1055,Woman,55,"Jackson Heights, NY"
1056,Man,39,"Kearny, NJ"
1057,Woman,19,"Altadena, CA"
1058,Woman,42,"Castlewood, CO"
1059,Woman,42,"Trion, GA"
1060,Man,33,"Sugar Hill, GA"
1061,Woman,33,"Encinitas, CA"
1062,Man,21,"Manteca, CA"
1063,Man,30,"Town 'n' Country, FL"
1064,Man,33,"The Bronx, NY"
1065,Man,46,"Minneapolis, MN"
1066,Man,41,"Silverdale, WA"
1067,Woman,42,"South Kensington, MD"
1068,Man,41,"Bellflower, CA"
1069,Woman,42,"Norfolk, VA"
1070,Man,36,"Upland, CA"
1071,Woman,43,"Elgin, IL"
1072,Woman,43,"Buena Park, CA"
1073,Woman,53,"Mountain Park, GA"
1074,Man,22,"Manhattan, NY"
1075,Man,29,"Duncanville, TX"
1076,Man,30,"Austin, TX"
1077,Man,44,"Sheridan, WY"
1078,Man,55,"Santa Rosa, CA"
1079,Woman,25,"Hahnville, LA"
1080,Woman,26,"Bath Beach, NY"
1081,Man,35,"New York City, NY"
