OrderID,ItemID
1000,15
1000,74
1000,82
1000,89
1000,99
1001,184
1002,104
1002,119
1003,31
1003,78
1003,197
1004,21
1004,96
1004,163
1004,198
1004,248
1005,66
1005,99
1005,111
1005,194
1006,76
1006,153
1007,48
1007,96
1007,134
1007,151
1007,214
1007,252
1008,9
1008,206
1009,32
1009,66
1009,87
1009,145
1010,139
1011,25
1011,76
1011,114
1011,148
1011,159
1012,129
1012,218
1013,42
1014,24
1014,63
1014,103
1014,142
1015,39
1015,53
1015,127
1015,140
1015,195
1016,42
1016,62
1016,84
1016,101
1017,77
1017,130
1017,164
1017,192
1017,230
1017,235
1018,53
1018,109
1018,144
1018,182
1018,194
1018,223
1019,47
1019,211
1019,231
1020,1
1020,29
1020,71
1020,122
1020,126
1021,103
1021,137
1022,89
1022,173
1022,204
1022,226
1023,26
1023,44
1023,98
1023,99
1024,32
1024,108
1024,189
1024,211
1024,230
1025,49
1025,55
1025,98
1025,125
1025,162
1025,216
1026,247
1027,16
1027,47
1027,60
1027,181
1027,217
1027,225
1027,235
1028,93
1029,32
1030,38
1031,138
1032,24
1032,50
1032,89
1032,220
1033,204
1034,123
1034,193
1034,195
1034,223
1034,243
1034,248
1035,29
1035,57
1035,121
1035,165
1035,199
1036,54
1037,201
1038,54
1038,128
1038,181
1038,226
1039,43
1039,158
1040,199
1041,158
1041,159
1041,188
1041,222
1042,27
1043,21
1043,156
1044,18
1044,34
1044,73
1044,87
1045,41
1046,11
1046,46
1046,54
1046,86
1046,211
1047,140
1047,237
1048,71
1048,173
1048,214
1049,14
1049,129
1049,152
1049,219
1050,180
1051,24
1051,149
1051,245
1052,25
1052,36
1052,62
1052,212
1053,139
1053,251
1054,50
1054,103
1054,247
1055,55
1055,61
1055,160
1055,205
1056,61
1056,105
1056,243
1057,213
1058,3
1058,62
1059,53
1059,156
1060,94
1060,127
1061,58
1061,249
1062,63
1063,3
1063,31
1063,47
1063,83
1063,200
1064,43
1064,46
1064,102
1064,118
1064,180
1065,53
1065,144
1065,171
1065,223
1065,233
1066,19
1066,37
1067,3
1067,111
1067,205
1068,115
1068,214
1069,31
1069,133
1070,52
1070,252
1071,7
1071,14
1071,112
1072,6
1072,194
1073,37
1073,42
1073,79
1073,111
1073,192
1073,196
1074,67
1074,146
1074,229
1075,76
1075,94
1075,184
1076,79
1077,136
1077,217
1078,58
1078,86
1078,120
1078,205
1078,212
1078,220
1078,226
1079,62
1079,70
1079,237
1080,9
1080,13
1080,68
1080,82
1080,103
1081,23
1081,58
1081,104
1081,123
1081,208
1081,220
1081,241
1082,3
1082,69
1082,113
1082,146
1082,204
1082,243
1083,117
1083,119
1083,181
1083,191
1083,247
1084,131
1084,211
1085,2
1085,58
1085,70
1085,113
1085,147
1085,161
1086,201
1086,236
1086,241
1087,43
1087,152
1087,236
1088,12
1088,126
1088,159
1088,221
1089,245
1090,49
1090,81
1090,82
1090,185
1090,239
1091,21
1091,66
1092,36
1092,102
1092,117
1092,248
1093,119
1093,159
1093,202
1094,112
1094,115
1094,128
1094,153
1095,248
1096,23
1096,174
1097,63
1098,70
1098,86
1099,18
1100,62
1100,99
1101,79
1101,123
1102,62
1102,98
1103,18
1103,72
1103,113
1103,182
1104,64
1104,174
1105,178
1105,237
1106,14
1107,110
1107,183
1107,191
1107,239
1108,4
1108,42
1108,85
1108,140
1108,185
1108,196
1108,201
1109,22
1109,85
1109,112
1109,152
1109,243
1109,247
1110,3
1110,76
1110,89
1110,111
1110,116
1110,221
1111,166
1112,24
1112,69
1112,89
1112,229
1113,136
1113,144
1113,174
1114,142
1115,48
1115,119
1115,125
1115,189
1115,225
1116,233
1117,167
1118,63
1118,228
1119,53
1120,17
1120,95
1120,99
1121,5
1121,48
1121,55
1121,66
1121,167
1121,239
1122,86
1122,133
1122,221
1123,28
1123,41
1123,112
1124,3
1124,9
1124,107
1124,164
1124,213
1124,245
1125,18
1125,51
1125,73
1125,233
1125,236
1126,90
1126,162
1127,24
1128,75
1129,74
1130,32
1130,60
1130,191
1131,118
1131,138
1131,161
1131,193
1131,221
1131,225
1132,108
1132,191
1132,248
1133,142
1133,219
1134,154
1134,161
1135,56
1135,133
1135,247
1136,18
1136,38
1136,39
1136,173
1136,218
1137,3
1137,176
1137,194
1138,5
1138,44
1138,127
1138,244
1139,117
1140,131
1141,3
1142,25
1142,111
1142,177
1142,221
1143,28
1143,40
1143,41
1143,158
1143,196
1143,226
1144,170
1145,83
1145,119
1146,27
1146,241
1147,114
1147,159
1147,222
1148,37
1148,67
1148,130
1148,156
1148,179
1148,211
1148,234
1149,139
1149,251
1150,46
1150,124
